X,Y,OBJECTID,REPT_NO,LABEL,YEARDRILLED,GRIDNAME,GRIDLINE,GRIDSTATION,LOCATIONMAP,COMMENTS,AZIMUTHTRUE,DIP,LENGTH_M,OVERBURDEN_M,SURFACEROCK,CORESIZE,LOGSREPORTED,LOCATIONDETAIL
-65.630343972094,47.4484280921926,4382,476551,ELN-06-099,2006, , , ,Yes, ,230,-50,572,10,"sediment, Carboniferous", ,Yes,
-65.5902746061738,47.4474628864992,4383,476551,ELN-07-119,2007, , , ,Yes, ,215,-60,583,10,"sediment, Carboniferous", ,Yes,
-65.6873835769527,47.4661675181578,4384,476551,ELN-07-120,2007, , , ,Yes, ,300,-55,371,12,sediment, ,Yes,
-65.649566362101,47.4669747699482,4385,476551,ELN-07-123,2007, , , ,Yes, ,225,-50,298,6,"sediment, Carboniferous", ,Yes,
-65.6393518853493,47.4686441516687,4387,476551,ELN-07-126,2007, , , ,Yes, ,235,-50,412,7,"sediment, Carboniferous", ,Yes,
-66.2312038524169,47.1001464504511,4388,476554,C-07-087,2007, , , ,Yes, ,,-90,77,3,chlorite schist, ,Yes,
-66.2863175293091,47.5241614161671,4389,476555,ELN-07-143,2007, , , ,Yes,"This hole drilled on same site as ELN-07-116 (reported in 476388), but in opposite direction.",340,45,473,4.5,Rhyolite, ,Yes,
-65.9873714963965,47.2324431546531,4390,476560,ELN-07-137,2007, , , ,Yes, ,270,-60,317,3,Rhyolite, ,Yes,
-66.5533306708082,47.5018064595908,4391,471881,C-59,1959, ,473'W of 36W,1330'S,Yes, ,,90,227.19792,3.048,Syenite, ,Yes,
-66.5526274082357,47.5020226494651,4392,471881,C-60,1959, ,237'W of 36W,1330'S,Yes, ,,90,223.08312,6.096,Dacite, ,Yes,
-66.5521483183681,47.5007456499822,4393,471881,C-61,1959, ,337'W,1830'S,Yes, ,,90,195.62064,1.524,Syenite, ,Yes,
-66.5516305186481,47.5005839816855,4394,471881,C-62,1959, ,237'W,1930'S,Yes, ,,90,122.46864,3.5052,Dacite, ,Yes,
-66.5506743934848,47.5000807135646,4395,471881,C-63,1959, ,100'W,2230'S,Yes, ,,90,95.7072,1.6764,Quartz, ,Yes,
-66.5510459169837,47.499963621764,4396,471881,C-64,1959, ,200'W,2230'S,Yes, ,,90,123.444,1.524,Rhyolite, ,Yes,
-66.5518691396994,47.5002870568222,4397,471881,C-65,1959, ,337'W,2030'S,Yes, ,,90,108.93552,1.524,Dacite, ,Yes,
-66.550846585512,47.4997118639634,4398,471881,C-66,1959, ,200'W,2330'S,Yes, ,,90,76.2,4.572,Dacite, ,Yes,
-66.5534768928577,47.5020222595972,4399,471881,C-67,1959, ,437'W,1230'S,Yes, ,,90,214.884,10.48512,Syenite, ,Yes,
-66.5495985726519,47.4992986597271,4400,471881,C-68,1959, ,3570'W,2630'S,Yes, ,,90,50.5968,3.048,Dacite, ,Yes,
-66.5489610106915,47.4987772511222,4401,471881,C-69,1959, ,3500W,2880S,Yes, ,,90,56.6928,9.144,Dacite, ,Yes,
-66.5600816938707,47.5091066587068,4402,471881,C-70,1959, ,4400'W,1825'N,Yes, ,156,45,94.57944,13.716,Acid Volcanic, ,Yes,
-66.5529983842299,47.5013478938027,4403,471881,C-71,1959, ,3700'W,2880'S,Yes, ,,90,30.48,2.16408,Dacite, ,Yes,
-66.5480980447803,47.4984897897151,4404,471881,C-72,1959, ,3300'W,3080'S,Yes, ,,90,61.99632,7.19328,Acid Volcanic, ,Yes,
-66.5496509560602,47.4985431000543,4405,471881,C-73,1959, ,4037'W,1530'S,Yes, ,,90,186.14136,6.096,Syenite, ,Yes,
-66.5520698280672,47.5019149681941,4406,471881,C-74,1959, ,3737'W,1430'S,Yes, ,,90,185.86704,2.1336,Dacite, ,Yes,
-66.5675652251993,47.5063142429804,4407,471881,C-75,1959, ,6500'W,1650'S,Yes, ,,90,92.17152,7.62,Arkose, ,Yes,
-66.5680830716259,47.5064308672597,4408,471881,C-76,1959, ,6600'W,1750'S,Yes, ,,90,154.44216,2.4384,Quartzite, ,Yes,
-66.568321186929,47.5057921194077,4409,471881,C-77,1959, ,6700'W,1550'N,Yes, ,,90,60.96,2.31648,Arkose, ,Yes,
-66.5519495684904,47.5010965243697,4410,471881,C-78,1959, ,237'W,1730'S,Yes, ,,90,170.80992,1.76784,Dacite, ,Yes,
-66.5940814992497,47.4880998349457,4411,471881,C-79,1959, ,15400'W,200'N,Yes, ,156,45,214.7316,2.4384,Porphyritic Dacite, ,Yes,
-66.5523343780873,47.5009884169808,4412,471881,C-80,1959, ,337'W,1730'S,Yes, ,,90,154.59456,10.668,Dacite, ,Yes,
-66.5493054160701,47.4980485508957,4413,471881,C-81,1959, ,100'W,30+80'S,Yes, ,,90,32.004,2.01168,Dacite, ,Yes,
-66.5676160649608,47.5045423022726,4414,471881,C-82,1959, ,55'E,1060'N,Yes, ,,90,154.59456,1.524,Rhyolite, ,Yes,
-66.5683324577839,47.5042360688728,4415,471881,C-83,1959, ,150'W,1010'N,Yes, ,,90,152.8572,2.7432,Rhyolite, ,Yes,
-66.560054767351,47.5087738776323,4416,471881,C-84,1959, ,50'W,1725'N,Yes, ,,90,61.29528,2.7432,Quartzite, ,Yes,
-66.5597628819489,47.5089179402771,4417,471881,C-85,1959, ,50'S,1725'N,Yes, ,,90,63.7032,6.096,Quartzite, ,Yes,
-66.5597227029303,47.5086031548799,4418,471881,C-86,1959, ,L44+00W,1625'N,Yes, ,,90,62.72784,4.572,Quartzite, ,Yes,
-66.5496636646105,47.4979404636118,4419,471881,C-87,1960, ,200'W,30+80S,Yes, ,,90,64.008,3.6576,Dacite, ,Yes,
-66.5503283308293,47.4990554930774,4420,471881,C-89,1960, ,175'W,26+30S,Yes, ,,90,61.5696,3.38328,Dacite, ,Yes,
-66.5504745501985,47.4992892860503,4421,471881,C-90,1960, ,175'W,25+30S,Yes, ,,90,45.72,2.7432,Dacite, ,Yes,
-66.5497713008961,47.4994964642385,4422,471881,C-91,1960, ,25'E,25+30S,Yes, ,,90,50.5968,6.096,Dacite, ,Yes,
